"CODIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECION";"CP";"POBLACION";"PROVINCIA";"PAIS";"CERCANIAS";"FEVE";"COMUN"
"65318";"BENICÀSSIM";"40.0579451";"0.05776460";"Pza. de la Estación S/N, Benicàssim (Castelló)";"12560";"BENICASIM/BENICÀSSIM";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65400";"TORTOSA";"40.8073330";"0.52301360";"C/ Poeta Vicente I Garcia, 6 - 12";"43500";"TORTOSA";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65401";"CAMP-REDÓ";"40.7591556";"0.55584433";"C/ Estació Ferrocarril, S/N";"43897";"TORTOSA";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65402";"L'ALDEA-AMPOSTA-TORTOSA";"40.7535640";"0.61430923";"C/ Arrabal de Ramon, S/N";"43896";"ALDEA (L')";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65403";"CAMARLES-DELTEBRE";"40.7747633";"0.67176095";"C/ Estación Ferrocarril, S/N";"43894";"CAMARLES";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65404";"L'AMPOLLA-EL PERELLÓ-DELTEBRE";"40.8119898";"0.70826336";"Pl. Francesc Macià, S/N";"43895";"AMPOLLA (L')";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65405";"L'AMETLLA DE MAR";"40.8862000";"0.80045321";"C/ Goya, S/N";"43860";"AMETLLA DE MAR (L')";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65411";"SALOU-PORT AVENTURA";"41.0884798";"1.14605195";"Avenida del 30 Doctubre, S/N";"43840";"SALOU";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65420";"L'HOSPITALET DE L'INFANT";"40.9993900";"0.91253887";"Pl. de L'Estació, S/N";"43891";"VANDELLÒS I L'HOSPITALET DE L'INFANT";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65422";"CAMBRILS";"41.0815642";"1.04603752";"Av. de Charles Robert Darwin, S/N";"43850";"CAMBRILS";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"67004";"MARÍA DE HUERVA";"41.5397590";"-0.9980820";"C/ Estación Ferrocarril, S/N";"50430";"MARÍA DE HUERVA";"ZARAGOZA";"ESPAÑA";"NO";"NO";""
"67007";"ARAÑALES DE MUEL";"41.4689460";"-1.0863940";"C/ Escalera Arañales, 8";"50450";"MUEL";"ZARAGOZA";"ESPAÑA";"NO";"NO";""
"67009";"LONGARES";"41.4047870";"-1.1587910";"C/ Camino Estación Ferrocarril, S/N";"50460";"LONGARES";"ZARAGOZA";"ESPAÑA";"NO";"NO";""
"67010";"CARIÑENA";"41.3355860";"-1.2284220";"Camino Estación Ferrocarril, 1";"50400";"CARIÑENA";"ZARAGOZA";"ESPAÑA";"NO";"NO";""
"67011";"ENCINACORBA";"41.2886500";"-1.2785340";"C/ Estación Ferrocarril, 9";"50470";"ENCINACORBA";"ZARAGOZA";"ESPAÑA";"NO";"NO";""
"67013";"VILLARREAL DE HUERVA";"41.1964980";"-1.2870960";"C/ Camino de la Estación, S/N";"50490";"VILLARREAL DE HUERVA";"ZARAGOZA";"ESPAÑA";"NO";"NO";""
"67014";"VILLADOZ";"41.1654820";"-1.2793390";"Ctra. A-2509 - Estación Ferrocarril, S/N";"50490";"VILLADOZ";"ZARAGOZA";"ESPAÑA";"NO";"NO";""
"67015";"BADULES";"41.1395100";"-1.2515720";"Ctra. A - 1506 --- C/ Mayor, S/N";"50491";"BADULES";"ZARAGOZA";"ESPAÑA";"NO";"NO";""
"67016";"VILLAHERMOSA";"41.1084920";"-1.2398030";"Ctra. Te-17 - Estación Ferrocarril, S/N";"44494";"VILLAHERMOSA DEL CAMPO";"TERUEL";"ESPAÑA";"NO";"NO";""
"67017";"FERRERUELA";"41.0638700";"-1.2393840";"Ctra. A - 2510 --- Estación de Ferrocarril, S/N";"44490";"FERRERUELA DE HUERVA";"TERUEL";"ESPAÑA";"NO";"NO";""
"67018";"CUENCABUENA";"41.0092930";"-1.2546410";"Ctra. Te - 19 --- Estación Ferrocarril, S/N";"44495";"CALAMOCHA";"TERUEL";"ESPAÑA";"NO";"NO";""
"67019";"LECHAGO";"40.9576810";"-1.2690870";"Autovia Mudejar A- 23 --- Estación Ferrocarril, S/N";"44495";"CALAMOCHA";"TERUEL";"ESPAÑA";"NO";"NO";""
"67020";"NAVARRETE";"40.9367210";"-1.2617330";"Ctra. A-2512 - Estación Ferrocarril, S/N";"44496";"CALAMOCHA";"TERUEL";"ESPAÑA";"NO";"NO";""
"67021";"CALAMOCHA";"40.9038640";"-1.2998410";"Ctra. N - 234 --- Estación Ferrocarril, S/N";"44200";"CALAMOCHA";"TERUEL";"ESPAÑA";"NO";"NO";""
"67100";"CAMINREAL-FUENTES CLARAS";"40.8511100";"-1.3376500";"Ctra. Cv - 4301 --- Estación Ferrocarril, S/N";"44350";"CAMINREAL";"TERUEL";"ESPAÑA";"NO";"NO";""
"67101";"TORRIJO DEL CAMPO";"40.8260120";"-1.3404980";"C/ Alemania, S/N";"44393";"TORRIJO DEL CAMPO";"TERUEL";"ESPAÑA";"NO";"NO";""
"67103";"VILLAFRANCA DEL CAMPO";"40.6838270";"-1.3579270";"Ctra. Te-V-9024 - Estación Ferrocarril, S/N";"44394";"VILLAFRANCA DEL CAMPO";"TERUEL";"ESPAÑA";"NO";"NO";""
"67105";"SANTA EULALIA DEL CAMPO";"40.5729170";"-1.3129950";"Barrio Estación Ferrocarril, 8";"44360";"SANTA EULALIA";"TERUEL";"ESPAÑA";"NO";"NO";""
"67107";"CELLA";"40.4552660";"-1.2443290";"C/ Estación Ferrocarril, S/N";"44370";"CELLA";"TERUEL";"ESPAÑA";"NO";"NO";""
"67113";"MONREAL DEL CAMPO";"40.7823210";"-1.3607920";"C/ Teruel, S/N";"44300";"MONREAL DEL CAMPO";"TERUEL";"ESPAÑA";"NO";"NO";""
"67200";"TERUEL";"40.3410290";"-1.1102840";"C/ Camino de la Estación, S/N";"44001";"TERUEL";"TERUEL";"ESPAÑA";"NO";"NO";""
"67203";"PUEBLA DE VALVERDE";"40.2134240";"-0.9446740";"Ctra. Te-620 - Camino Estación Ferrocarril, S/N";"44450";"PUEBLA DE VALVERDE (LA)";"TERUEL";"ESPAÑA";"NO";"NO";""
"67205";"SARRIÓN";"40.1463390";"-0.8236310";"C/ Camino de la Estación, S/N";"44460";"SARRIÓN";"TERUEL";"ESPAÑA";"NO";"NO";""
"67206";"MORA DE RUBIELOS";"40.1231420";"-0.7861450";"C/ Estación Ferrocarril Mora, 1";"44477";"ALBENTOSA";"TERUEL";"ESPAÑA";"NO";"NO";""
